(84,153)
(188,25)
(196,316)
(198,228)
(207,301)
(223,324)
(236,300)
(240,18)
(241,487)
(249,415)
(250,328)
(258,225)
(284,686)
(290,121)
(295,51)
(303,171)
(309,143)
(311,708)
(313,96)
(314,54)
(315,382)
(319,42)
(321,11)
(322,115)
(324,134)
(325,15)
(333,32)
(344,469)
(351,439)
(354,29)
(355,305)
(360,66)
(362,452)
(364,85)
(365,136)
(369,663)
(383,27)
(387,108)
(389,16)
(390,33)
(391,127)
(395,253)
(396,173)
(398,106)
(402,414)
(421,257)
(429,299)
(431,52)
(447,44)
(449,730)
(450,248)
(456,242)
(461,14)
(463,160)
(465,78)
(467,138)
(468,35)
(471,204)
(477,167)
(482,128)
(483,175)
(484,43)
(487,224)
(490,536)
(492,775)
(493,37)
(497,223)
(501,168)
(502,431)
(503,101)
(510,327)
(526,372)
(527,99)
(539,681)
(543,467)
(560,6)
(562,193)
(563,65)
(565,459)
(566,187)
(576,3)
(581,435)
(582,188)
(584,104)
(586,40)
(587,148)
(592,117)
(594,61)
(600,218)
(618,105)
(648,800)
(650,112)
(670,123)
(684,288)
(929,90)
(933,323)
(934,434)
(939,340)
(960,437)
(966,384)
(977,358)
(981,464)
(989,321)
(1006,468)
(1020,161)
(1046,454)
(1052,377)
(1064,429)
(1120,297)
(1130,318)
(1170,291)
(1193,484)
(1224,660)
(1228,442)
(1305,286)
(1405,126)
(1424,67)
(1456,535)
(1477,12)
(1489,333)
(1527,170)
(1536,398)
(1564,141)
(1567,19)
(1582,282)
(1584,145)
(1595,578)
(1638,427)
(1649,335)
(1685,550)
(1701,195)
(1733,30)
(1776,292)
(1912,190)
(1948,470)
(1982,125)
(2009,543)
(2013,352)
(2028,158)
(2032,346)
(2042,319)
(2155,22)
(2164,186)
(2166,219)
(2224,790)
(2247,747)
(2267,729)
(2269,597)
(2291,130)
(2410,1)
(2411,2)
(2412,4)
(2413,5)
(2414,7)
(2415,8)
(2416,9)
(2417,10)
(2418,13)
(2419,17)
(2420,20)
(2421,21)
(2422,23)
(2423,24)
(2424,26)
(2425,28)
(2426,31)
(2427,34)
(2428,36)
(2429,38)
(2430,39)
(2431,41)
(2432,45)
(2433,46)
(2434,47)
(2435,48)
(2436,49)
(2437,50)
(2438,53)
(2439,55)
(2440,56)
(2441,57)
(2442,58)
(2443,59)
(2444,60)
(2445,62)
(2446,63)
(2447,64)
(2448,68)
(2449,69)
(2450,70)
(2451,71)
(2452,72)
(2453,73)
(2454,74)
(2455,75)
(2456,76)
(2457,77)
(2458,79)
(2459,80)
(2460,81)
(2461,82)
(2462,83)
(2463,84)
(2464,86)
(2465,87)
(2466,88)
(2467,89)
(2468,91)
(2469,92)
(2470,93)
(2471,94)
(2472,95)
(2473,97)
(2474,98)
(2475,100)
(2476,102)
(2477,103)
(2478,107)
(2479,109)
(2480,110)
(2481,111)
(2482,113)
(2483,114)
(2484,116)
(2485,118)
(2486,119)
(2487,120)
(2488,122)
(2489,124)
(2490,129)
(2491,131)
(2492,132)
(2493,133)
(2494,135)
(2495,137)
(2496,139)
(2497,140)
(2498,142)
(2499,144)
(2500,146)
(2501,147)
(2502,154)
(2503,155)
(2504,156)
(2505,157)
(2506,159)
(2507,162)
(2508,163)
(2509,164)
(2510,165)
(2511,166)
(2512,169)
(2513,172)
(2514,174)
(2515,176)
(2516,177)
(2517,178)
(2518,179)
(2519,181)
(2520,182)
(2521,183)
(2522,184)
(2523,185)
(2524,189)
(2525,191)
(2526,192)
(2527,194)
(2528,196)
(2529,197)
(2530,198)
(2531,199)
(2532,200)
(2533,201)
(2534,202)
(2535,203)
(2536,205)
(2537,206)
(2538,207)
(2539,208)
(2540,209)
(2541,210)
(2542,211)
(2543,212)
(2544,213)
(2545,214)
(2546,215)
(2547,216)
(2548,217)
(2549,220)
(2550,221)
(2551,222)
(2552,226)
(2553,227)
(2554,229)
(2555,230)
(2556,231)
(2557,232)
(2558,233)
(2559,234)
(2560,235)
(2561,236)
(2562,237)
(2563,238)
(2564,239)
(2565,240)
(2566,241)
(2567,243)
(2568,244)
(2569,245)
(2570,246)
(2571,247)
(2572,249)
(2573,250)
(2574,251)
(2575,252)
(2576,254)
(2577,255)
(2578,256)
(2579,258)
(2580,259)
(2581,260)
(2582,261)
(2583,262)
(2584,263)
(2585,264)
(2586,265)
(2587,266)
(2588,280)
(2589,281)
(2590,283)
(2591,284)
(2592,285)
(2593,287)
(2594,290)
(2595,293)
(2596,294)
(2597,295)
(2598,296)
(2599,298)
(2600,302)
(2601,303)
(2602,304)
(2603,306)
(2604,307)
(2605,308)
(2606,309)
(2607,310)
(2608,311)
(2609,312)
(2610,313)
(2611,314)
(2612,315)
(2613,317)
