(84,153)
(188,25)
(196,316)
(198,228)
(207,301)
(223,324)
(236,300)
(240,18)
(241,487)
(249,415)
(250,328)
(258,225)
(284,686)
(290,121)
(295,51)
(303,171)
(309,143)
(311,708)
(313,96)
(314,54)
(315,382)
(319,42)
(321,11)
(322,115)
(324,134)
(325,15)
(333,32)
(344,469)
(351,439)
(354,29)
(355,305)
(360,66)
(362,452)
(364,85)
(365,136)
(369,663)
(383,27)
(387,108)
(389,16)
(390,33)
(391,127)
(395,253)
(396,173)
(398,106)
(402,414)
(421,257)
(429,299)
(431,52)
(447,44)
(449,730)
(450,248)
(456,242)
(461,14)
(463,160)
(465,78)
(467,138)
(468,35)
(471,204)
(477,167)
(482,128)
(483,175)
(484,43)
(487,224)
(490,536)
(492,775)
(493,37)
(497,223)
(501,168)
(502,431)
(503,101)
(510,327)
(526,372)
(527,99)
(539,681)
(543,467)
(560,6)
(562,193)
(563,65)
(565,459)
(566,187)
(576,3)
(581,435)
(582,188)
(584,104)
(586,40)
(587,148)
(592,117)
(594,61)
(600,218)
(618,105)
(648,800)
(650,112)
(670,123)
(684,288)
(929,90)
(933,323)
(934,434)
(939,340)
(960,437)
(966,384)
(977,358)
(981,464)
(989,321)
(1006,468)
(1020,161)
(1046,454)
(1052,377)
(1064,429)
(1120,297)
(1130,318)
(1170,291)
(1193,484)
(1224,660)
(1228,442)
(1305,286)
(1405,126)
(1424,67)
(1456,535)
(1477,12)
(1489,333)
(1527,170)
(1536,398)
(1564,141)
(1567,19)
(1582,282)
(1584,145)
(1595,578)
(1638,427)
(1649,335)
(1685,550)
(1701,195)
(1733,30)
(1776,292)
(1912,190)
(1948,470)
(1982,125)
(2009,543)
(2013,352)
(2028,158)
(2032,346)
(2042,319)
(2155,22)
(2164,186)
(2166,219)
(2224,790)
(2247,747)
(2267,729)
(2269,597)
(2291,130)
